parent_company_name,child_company_name
LENNAR CORP,"LH-EH LAYTON LAKES ESTATES, LLC"
MONSANTO CO,"SEMINIS VEGETABLE SEEDS, INC"
SYSCO CORP,"FRESHPOINT OF ATLANTA, INC"
WELLS FARGO & CO,WACHOVIA DEFEASANCE CSFB 2005-C3 III LLC
COMCAST CORP,"COMCAST CABLEVISION OF MACOMB, INC"
VENTAS INC,"LHPT DECATUR, LLC"
AMEREN CORP,AMERENENERGY MEDINA VALLEY COGEN (NO. 2) L.L.C.
ABLE ENERGY INC,"ABLE MELBOURNE, INC"
CITIGROUP INC,"ALLIED FINANCIAL SERVICES INSURANCE AGENCY, INC"
AES CORP,"AES REDFISH, INC. (CURRENT)"
COMCAST CORP,"COMCAST CABLEVISION OF PANAMA CITY, INC"
CIT GROUP INC,"THE CIT GROUP/CMS SECURITIES INVESTMENT, INC"
AMERICAN EXPRESS CO,"AMERICAN EXPRESS INTERNATIONAL (NZ), INC"
AES CORP,"AES IRONWOOD, L.L.C."
CIGNA CORP,"P) CIGNA HEALTHCARE OF NORTH CAROLINA, INC"
KINDER MORGAN INC,KINDER MORGAN BALTIMORE TRANSLOAD TERMINAL LLC
CITIGROUP INC,THE GENEVA COMPANIES INC
AMEREN CORP,ILLINOIS POWER FINANCING II
XEROX CORP,PALO ALTO RESEARCH CENTER INCORPORATED
TERADYNE INC,"TERADYNE BENELUX, INC"
CITIGROUP INC,"TRAVELERS GROUP DIVERSIFIED DISTRIBUTION SERVICES, INC"
RAYTHEON CO,"BEECH AIRCRAFT LEASING, INC"
XEROX CORP,"SOCAL OFFICE TECHNOLOGIES, INC"
CONOCOPHILLIPS,POLAR TANKERS SPILL RESPONSE COMPANY
AUTONATION INC,"NORTHWEST FINANCIAL GROUP, INC"
XEROX CORP,"MR. COPY, INC."
ALLSTATE CORP,COLUMBIA UNIVERSAL LIFE INSURANCE COMPANY
RYDER SYSTEM INC,"RYDER INTEGRATED LOGISTICS OF CALIFORNIA CONTRACTORS, LLC"
DANAHER CORP,"SEA-BIRD ELECTRONICS, INC"
AES CORP,"AES CAESS DISTRIBUTION, INC. (CURRENT)"
SYSCO CORP,"FOCUS FOODSERVICE, LLC"
BIG LOTS INC,"BIG LOTS F&S, INC"
DUKE ENERGY CORP,"DUKE ENERGY GAS TRANSMISSION RESOURCES, INC"
STRYKER CORP,"IMAGE GUIDED TECHNOLOGIES, INC"
DOW CHEMICAL CO,CD POLYMERS INC
COMCAST CORP,"STREAMSAGE, INC"
CITIGROUP INC,SMITH BARNEY GLOBAL MARKETS FUTURES FUND L.P.
XEROX CORP,"ACS ASSET MANAGEMENT GROUP, INC"
DANAHER CORP,MAXTEK COMPONENTS CORPORATION
CIT GROUP INC,"CIT CHINA 4, INC. / USA"
DOVER CORP,"PDQ MANUFACTURING, INC"
WELLS FARGO & CO,"WELLS FARGO ESCROW COMPANY, LLC"
WELLS FARGO & CO,WACHOVIA DEFEASANCE LB-UBS 2002-C1 LLC
SYSCO CORP,"#FREEDMAN FOOD SERVICE OF AUSTIN, LP"
LEGG MASON INC,"LEGG MASON INVESTMENT COUNSEL, LLC"
VENTAS INC,"LHPT TCMC PAVILION, LLC"
DEAN FOODS CO,"SULPHUR SPRINGS CULTURED SPECIALTIES, LLC"
STERICYCLE INC,"MICRO-MED INDUSTRIES, INC"
COMCAST CORP,"COMCAST OF MASSACHUSETTS II, INC"
CITIGROUP INC,"WEST SUBURBAN INVESTMENTS, INC. OF COLORADO"
AES CORP,"SEAWEST WYOMING, LLC"
DOVER CORP,"KNOWLES ELECTRONICS HOLDINGS, INC"
RYDER SYSTEM INC,"RYDER TRUCK RENTAL, INC"
AUTONATION INC,"DOBBS FORD, INC"
CAREFUSION CORP,"CAREFUSION 202, INC"
COMCAST CORP,"COMCAST PHONE OF NORTHERN VIRGINIA, INC"
METLIFE INC,"METLIFE GREENSTONE SOUTHEAST VENTURES, LLC"
WELLS FARGO & CO,WACHOVIA DEFEASANCE BSCMS 2004-TOP16 525 VINE STREET LLC
COMCAST CORP,JONES CABLE CORPORATION
VENTAS INC,"BROOKDALE LIVING COMMUNITIES OF ILLINOIS-HLAL, LLC"
LENNAR CORP,"LENNAR BUFFINGTON COLORADO CROSSING, L.P."
EXPEDIA INC,TRIPADVISOR APAC HOLDINGS CORPORATION
SLM CORP,SLM EDUCATION CREDIT FUNDING LLC
HUMANA INC,H.A.C. INC.
CA INC,COMPUTER ASSOCIATES DIGITAL SCHOOLHOUSE
VENTAS INC,"SUNRISE SPRINGFIELD ASSISTED LIVING, L.L.C."
PERRIGO CO,"PERRIGO NEW YORK, INC"
COMCAST CORP,THE HILINE NETWORK
WELLS FARGO & CO,"FP, IV GP, LLC"
APACHE CORP,"APACHE INTERNATIONAL, INC"
METLIFE INC,HEADLAND PROPERTIES ASSOCIATES
DOW CHEMICAL CO,LIANA LIMITED
COMCAST CORP,USWFS BORROWER TRUST
GENERAL MILLS INC,"GENERAL MILLS IP HOLDINGS I, LLC"
TARGET CORP,"SUPERTARGET LIQUOR OF MASSACHUSETTS, INC"
BB&T CORP,"GREY EAGLE, INC"
AUTOZONE INC,"AUTOZONE PUERTO RICO, INC"
PFIZER INC,PUCN LLC
SEALED AIR CORP,"REFLECTIX, INC"
ALLSTATE CORP,ESURANCE INSURANCE COMPANY OF NEW JERSEY
CIT GROUP INC,NEWCOURT DFS INC. / USA
AMERICAN EXPRESS CO,IDS INSURANCE AGENCY OF ARKANSAS INC
COMCAST CORP,"COMCAST OF CALIFORNIA/MARYLAND/PENNSYLVANIA/VIRGINIA/WEST VIRGINIA, LLC"
EASTMAN CHEMICAL CO,EASTMAN COGEN MANAGEMENT L.L.C.
PROCTER & GAMBLE CO,"PROCTER & GAMBLE PRODUCTIONS, INC"
WELLS FARGO & CO,WACHOVIA DEFEASANCE HF 1999-PH1 III LLC
WELLS FARGO & CO,"SUPERIOR HEALTH CARE MANAGEMENT, INC"
ELI LILLY & CO,"ELI LILLY INDUSTRIES, INC"
CITIGROUP INC,PLAZA LLC
FLUOR CORP,"III TARRANT ENERGY, INC"
LENNAR CORP,WEST VAN BUREN L.L.C.
PEPSICO INC,MEADOWBROOK DISTRIBUTING CORPORATION
FLUOR CORP,"II FLUOR DANIEL FLORIDA RAIL, INC"
COMCAST CORP,ARP PARTNERSHIP
VENTAS INC,"EC TIMBERLIN PARC REALTY, LLC"
NOBLE CORP,NOBLE (GULF OF MEXICO) INC
AES CORP,"AES HUNTINGTON BEACH DEVELOPMENT, L.LC."
AES CORP,"AES EL SALVADOR ELECTRIC LIGHT, LTD. (CURRENT)"
CITIGROUP INC,"FIRST PADDLE CREEK, INC"
DEAN FOODS CO,"SWISS PREMIUM DAIRY, INC. FORMERLY WENGERT'S DAIRY, INC."
WATERS CORP,TA INSTRUMENTS-WATERS LLC
COMCAST CORP,"COMCAST IP PHONE OF MINNESOTA, LLC"
LENNAR CORP,"HERITAGE HOUSING GROUP, INC"
FLUOR CORP,"II FLUOR NE, INC"
HASBRO INC,"WIZARDS OF THE COAST, LLC"
WELLS FARGO & CO,COMMERCE FUNDING CORPORATION
VENTAS INC,THE PONDS OF PEMBROKE PARTNERSHIP
COMCAST CORP,"COMCAST TELEPHONY COMMUNICATIONS OF INDIANA, INC"
QUALCOMM INC,FLO TV INCORPORATED
YAHOO INC,IVY ACQUISITION CORP
COMCAST CORP,"SKYVIEW TV, INC"
METLIFE INC,TRANSMOUNTAIN LAND & LIVESTOCK COMPANY
CITIGROUP INC,"SBS INSURANCE AGENCY OF WYOMING, INC"
CUMMINS INC,"NWMW, INC"
CITIGROUP INC,KNIGHT CFPI LOAN FUNDING LLC
CONOCOPHILLIPS,CONOCOPHILLIPS ENTERPRISES INC
WELLS FARGO & CO,"WFFLI LEASE FINANCE II, LLC"
WELLS FARGO & CO,WACHOVIA WARRANTY CORPORATION
AUTONATION INC,"MIKE SHAD FORD, INC"
DOVER CORP,ALPHASEM CORPORATION
LENNAR CORP,"GALLOWAY ENTERPRISES, LLC"
PEPSICO INC,"PEPSI LOGISTICS COMPANY, INC"
CONOCOPHILLIPS,CONOCOPHILLIPS SHIPPING LLC
FLUOR CORP,"II FLUOR ENGINEERS, INC"
ONEOK INC,OASIS ACQUISITION CORPORATION
DUKE ENERGY CORP,"FUELS COTTON VALLEY GATHERING, LP"
AES CORP,"AES CHERRY FLATS WIND, LLC"
WELLS FARGO & CO,GOLDEN PACIFIC INSURANCE COMPANY
PRAXAIR INC,"PRAXAIR MANAGEMENT SERVICES, INC"
PEPSICO INC,PAGAM CORPORATION
DUKE ENERGY CORP,TEXAS EASTERN SLURRY TRANSPORT CO
CONOCOPHILLIPS,KAYO OIL COMPANY
WELLS FARGO & CO,"WELLS FARGO VENTURES, LLC"
VENTAS INC,"AL I/LA COSTA SENIOR HOUSING, LLC"
CIT GROUP INC,CIT BUS CORPORATION / U.S.
ONEOK INC,"ONEOK ARBUCKLE NORTH PIPELINE, L.L.C."
VENTAS INC,"ALI/NORTH LYNBROOK SENIOR HOUSING, LLC"
WELLS FARGO & CO,FOOTHILL CAPITAL CORPORATION
AES CORP,AES GLOBAL INSURANCE COMPANY
GENERAL ELECTRIC CO,GE TRANSPORTATION SYSTEMS PARTS HOLDING INC
COMERICA INC,"IMPERIAL ASSET MANAGEMENT, INC"
ASSURANT INC,VOYAGER INDEMNITY INSURANCE COMPANY
XEROX CORP,"COPYCO OFFICE SOLUTIONS, INC"
KROGER CO,"FOOD 4 LESS OF SOUTHERN CALIFORNIA, INC"
LEGG MASON INC,"BARTLETT REAL ESTATE, INC."
WELLS FARGO & CO,"SS LEWIS ENTERPRISE, LLC"
XCEL ENERGY INC,XCEL ENERGY WYCO INCORPORATED
AES CORP,"AES FINANCE AND DEVELOPMENT, INC. (CURRENT)"
SYSCO CORP,AMERICAN PRODUCE & VEGETABLE COMPANY
SCHLUMBERGER LTD,5(A) 3(B) 4(C) 8(D)
DOW CHEMICAL CO,DOW CHEMICAL TELECOMMUNICATIONS CORP
MASCO CORP,"SERVICE PARTNERS OF THE CAROLINAS, LLC"
XCEL ENERGY INC,XCEL ENERGY VENTURES INCORPORATED
RAYTHEON CO,RAYTHEON SYSTEMS OVERSEAS COMPANY
AMEREN CORP,"CLM XII, INC"
COMCAST CORP,"LENFEST OAKS, INC"
CITIGROUP INC,ECL2 FUNDING LLC
AES CORP,"PRASENTIA, LLC"
CIT GROUP INC,"CIT CHINA 4, INC"
CINTAS CORP,CINTAS CORPORATION NO
CITIGROUP INC,"CITIFINANCIAL CORPORATION 216, LLC"
CATERPILLAR INC,"ARCH DEVELOPMENT FUND I, L.P."
AUTONATION INC,"AUTONATION FORT WORTH MOTORS, LTD"
FLUOR CORP,"II FLUOR TEXAS, INC"
CONOCOPHILLIPS,CONOCO CENTER INC
AMERICAN TOWER CORP,"LODESTAR TOWER CALIFORNIA, INC"
BIG LOTS INC,"FASHION BARN OF MISSOURI, INC"
US BANCORP,"U.S. BANCORP INSURANCE SERVICES, LLC"
CIT GROUP INC,"THE CIT GROUP/CORPORATE AVIATION, INC"
FISERV INC,"BENEFIT PLANNERS LIMITED, L.L.P."
COMCAST CORP,"COMCAST PHONE OF SOUTH DAKOTA, LLC"
COMCAST CORP,"COMCAST OF CALIFORNIA/ILLINOIS, LP"
VENTAS INC,LIMA NOMINEE LLC
PEPSICO INC,"BOQUITAS FIESTAS, LLC"
DIRECTV,SKY CHILE DTH HOLDINGS LLC
ALLSTATE CORP,"NEW JERSEY HOLDINGS, LLC"
COMCAST CORP,"COMCAST OF WASHINGTON II, INC"
CIT GROUP INC,"CIT STS, INC. / U.S."
AES CORP,"DOUGLAS HOLDINGS, INC. (CURRENT)"
PACCAR INC,PACCAR U.K. LTD.
WELLS FARGO & CO,WACHOVIA DEFEASANCE GECCMC 2006-C1 III LLC
SAFEWAY INC,"EWI HOLDINGS, INC"
EBAY INC,SHOPPING.COM INC.
DOVER CORP,TISMA MACHINERY
MASCO CORP,"HYDROTECH, INC"
COMCAST CORP,"COMCAST MO FS LEASING 1995, INC"
AUTONATION INC,"AUTONATION USA OF PERRINE, INC"
COMCAST CORP,"COMCAST OF CALIFORNIA IX, INC"
HUMANA INC,RIGHTSOURCE MAIL
AES CORP,"AES MID-WEST WIND, L.L.C."
RYDER SYSTEM INC,RYDER TRUCK RENTAL II LP
MEDTRONIC INC,MEDTRONIC PHYSIO-CONTROL CORP
CIT GROUP INC,BROAD RIVER OL-1 LLC
DIRECTV,"CALIFORNIA BROADCAST CENTER, LLC (CBC)"
CA INC,COMPUTER ASSOCIATES WESTWOOD
DOVER CORP,HYDRO
PROGRESSIVE CORP,UNITED FINANCIAL CASUALTY COMPANY
AUTONATION INC,"AUTONATION IMPORTS NORTHWEST, INC"
MEADWESTVACO CORP,"MEADWESTVACO COATED BOARD, INC"
STERICYCLE INC,"EAST COAST MEDICAL WASTE, INC"
APACHE CORP,"APACHE NORTH AMERICA, INC"
EXXON MOBIL CORP,EXXON INTERNATIONAL FINANCE COMPANY
CITIGROUP INC,CITI CARDS SOUTH DAKOTA ACCEPTANCE CORP
CIT GROUP INC,CIT EDUCATION LOAN TRUST
WELLS FARGO & CO,FIRST SECURITY SERVICE COMPANY
COMCAST CORP,"TCI TKR CABLE I, INC"
BLACKROCK INC,"BLACKROCK PORTFOLIO INVESTMENTS, LLC"
DELL INC,CPS CHANNEL PARTNER SOLUTIONS L.P.
FLUOR CORP,"II ETECH SOLUTIONS, INC"
CIT GROUP INC,"CIT TRADE FINANCE FUNDING COMPANY, LLC"
WELLS FARGO & CO,"SILVER ASSET MANAGEMENT, INC"
LENNAR CORP,"STONEYBROOK CLUBHOUSE, INC"
CITIGROUP INC,"PRIMERICA FINANCIAL SERVICES INSURANCE MARKETING OF PENNSYLVANIA, INC"
CIGNA CORP,"CIGNA HEALTHCARE MID-ATLANTIC, INC"
MONSANTO CO,"MONSANTO TECHNOLOGY, LLC"
WEYERHAEUSER CO,"MARACAY VILLAS BOULDERS, LLC"
AUTONATION INC,RRM CORPORATION
AMERICAN TOWER CORP,"SPECTRASITE OUTDOOR DAS NETWORKS, INC"
CITIGROUP INC,CITIGROUP VENTURE CAPITAL INTERNATIONAL CDX LLC
LENNAR CORP,"LENNAR GULF COAST, LLC"
LENNAR CORP,"SUMMIT TOWNES, L.L.C."
WEYERHAEUSER CO,"MARACAY RIVERSIDE, LLC"
WELLS FARGO & CO,WACHOVIA DEFEASANCE SBMS 2000-C1 LLC
DOVER CORP,"TRITON SYSTEMS, INC"
VENTAS INC,SUNRISE IVEY RIDGE ASSISTED LIVING PARTNERSHIP
CATERPILLAR INC,PROGRESS VANGUARD CORPORATION
PITNEY BOWES INC,PITNEY BOWES SOFTWARE INC
WELLS FARGO & CO,"WELLS FARGO FINANCIAL ACCEPTANCE ALABAMA, INC"
WELLS FARGO & CO,"GREENSBORO-RICHMOND PROPERTIES, LLC"
RYDER SYSTEM INC,"RYDER RECEIVABLE FUNDING II, L.L.C."
AUTONATION INC,SEVEN ROD LIFE INSURANCE COMPANY
NISOURCE INC,COLUMBIA ENERGY GROUP
BB&T CORP,"AGENCY TECHNOLOGIES, INC"
DOVER CORP,REVOD CORPORATION
PRAXAIR INC,"PRAXAIR S.T. TECHNOLOGY, INC."
ALLSTATE CORP,"ALLSTATE INVESTMENTS, LLC"
PROCTER & GAMBLE CO,REFLECT.COM CORP.
FISERV INC,"CUSICK MANAGEMENT, LLC"
CONOCOPHILLIPS,BURLINGTON RESOURCES TRADING INC
XEROX CORP,XEROX TRADE RECEIVABLES LLC
HORMEL FOODS CORP,"JENNIE-O TURKEY STORE, LLC"
AES CORP,"AES EAMON THEADORE HOLDING, INC. (CURRENT)"
COMCAST CORP,"COMCAST OF NEW CASTLE COUNTY, LLC"
WELLS FARGO & CO,"AHG TAX CREDIT FUND IV, L.L.C."
WELLS FARGO & CO,"ESTATES AT DUNWOODY PARK GA, LLC"
AUTONATION INC,"AUTONATION ORLANDO VENTURE IMPORTS, INC"
ASSURANT INC,"GP LEGACY PLACE, INC"
CITIGROUP INC,HOLLAND LEASEHOLD LLC
CONOCOPHILLIPS,SOONER INSURANCE COMPANY
COMCAST CORP,"SPECTRUMCO, LLC"
AES CORP,"AES BAINBRIDGE HOLDINGS, LLC"
FLUOR CORP,"II FLUOR MEDITERRANEAN, INC"
PRAXAIR INC,"HEALTH CARE PARTNERS-INDIANA, LLC"
COMCAST CORP,"COMCAST OF MONTANA II, INC"
FEDEX CORP,"I. ROADWAY GLOBAL AIR INTERNATIONAL, INC."
BIG LOTS INC,"SADDLE BROOK DISTRIBUTORS, INC"
YUM BRANDS INC,"WINGSTREET, LLC"
MASTERCARD INC,MASTERCARD HONG KONG LTD
AMEREN CORP,MISSOURI CENTRAL RAILROAD COMPANY
AMPHENOL CORP,AMPHENOL FUNDING CORPORATION
WELLS FARGO & CO,BLACKHAWK BANCORPORATION
FORD MOTOR CO,"FORD CREDIT INTERNATIONAL, INC"
PROCTER & GAMBLE CO,WELLA CORPORATION
AUTONATION INC,"SPOKANE MITSUBISHI DEALERS ADVERTISING ASSOCIATION, INC"
H&R BLOCK INC,H&R BLOCK MORTGAGE CORPORATION
COMCAST CORP,"ATLANTIC AMERICAN HOLDINGS, INC"
WELLS FARGO & CO,WACHOVIA DEFEASANCE CSFB 2003-CPN1 LLC
WELLS FARGO & CO,"WELLS FARGO FINANCIAL ACCEPTANCE MONTANA, INC"
LENNAR CORP,"56TH AND LONE MOUNTAIN, L.L.C."
COMCAST CORP,"COMCAST IP PHONE III, LLC"
COMCAST CORP,"NHL ENTERPRISES, INC"
WELLS FARGO & CO,WELLS FARGO CAPITAL II
AMEREN CORP,AMEREN ENERGY DEVELOPMENT COMPANY
COMCAST CORP,"COMCAST OF LONG BEACH ISLAND, LLC"
BB&T CORP,"MATEWAN INSURANCE AND INVESTMENTS, INC"
FLUOR CORP,"II FLUOR SERVICES INTERNATIONAL, INC"
EXXON MOBIL CORP,EXXONMOBIL OIL INDONESIA INC
AUTONATION INC,"STEVE MOORE CHEVROLET, LLC"
COMCAST CORP,"COMCAST OF CALIFORNIA XIV, LLC"
CIT GROUP INC,"WESTERN STAR FINANCE, INC"
WELLS FARGO & CO,"WELLS FARGO FINANCIAL ACCEPTANCE NEW JERSEY, INC"
STRYKER CORP,STRYKER AUSTRALIA LLC
CIGNA CORP,"CIGNA DENTAL HEALTH OF NEW JERSEY, INC"
XEROX CORP,"INFORMATION WORKS, INC"
PROCTER & GAMBLE CO,SEBASTIAN INTERNATIONAL INC
AES CORP,"AES COLUMBIA POWER, LLC (CURRENT)"
DOVER CORP,"PROVACON, INC"
LENNAR CORP,"ENCLAVE LAND, LLC"
H&R BLOCK INC,"OPTION ONE  INSURANCE AGENCY, INC/"
ECOLAB INC,ECOLAB HOLDINGS INC
RAYTHEON CO,RAYTHEON AIRCRAFT QUALITY SUPPORT COMPANY
KROGER CO,"KROGER MTL MANAGEMENT, LLC"
AES CORP,AES TRUST III (CURRENT)
DANAHER CORP,DANAHER INSURANCE COMPANY
NOBLE CORP,NOBLE CARL NORBERG LLC
AMERICAN TOWER CORP,"ATC OUTDOOR DAS, LLC"
PRAXAIR INC,"MEDI-RENTS, INC"
AMERICAN EXPRESS CO,TRS CARD INTERNATIONAL INC
DUKE ENERGY CORP,"SPRINGFIELD CRESCENT, LLC"
V F CORP,"SOUTH CONE, INC"
AMAZON COM INC,AMAZON CORPORATE LLC
FASTENAL CO,FASTENAL IP COMPANY
ONEOK INC,"ONEOK ENERGY INTERNATIONAL, INC"
DOVER CORP,"SOMERO ENTERPRISES, LLC"
COMCAST CORP,"COMCAST MO LEVERAGED LEASE PARTNERS 1997, LP"
WALGREEN CO,"MEDNOW INFUSION, LLC"
SAFEWAY INC,"SAFEWAY GIFT CARDS, LLC"
CONOCOPHILLIPS,GCRL MARKETING LTD
AES CORP,"AES OASIS FINCO, INC. (CURRENT)"
DUKE ENERGY CORP,"DEI BRASIL HOLDINGS, LLC"
AES CORP,"AES GPH HOLDINGS, INC"
ALLSTATE CORP,SURETY LIFE INSURANCE COMPANY
CIT GROUP INC,"THE CIT GROUP/CONSUMER FINANCE, INC.(TN)"
SAFEWAY INC,"DOMINICK'S FINER FOODS, INC. OF ILLINOIS"
AUTONATION INC,"AN IMPORTS OF RENO, LLC"
PAYCHEX INC,"PAYCHEX INSURANCE CONCEPTS, INC"
CIT GROUP INC,"CIT CHINA 5, INC"
AUTONATION INC,"AN MOTORS OF DALLAS, INC"
CITIGROUP INC,SALOMON BROTHERS FINANCE CORPORATION
COMCAST CORP,"PHOENIXSTAR, INC"
COMCAST CORP,"COMCAST CABLEVISION OF DELMARVA, INC"
WELLS FARGO & CO,"WELLS FARGO CEDAR CREEK, LLC"
XEROX CORP,NUVISIO CORPORATION
COMERICA INC,"NBFRE 31, LLC"
METLIFE INC,"HYATT LEGAL PLANS OF FLORIDA, INC"
AMERICAN TOWER CORP,"AMERICAN TOWER, L.P."
WELLS FARGO & CO,"TCF AEG/GA, LLC"
COMCAST CORP,"COMCAST MO GROUP, INC"
PITNEY BOWES INC,PREFCO VI LP INC
CIT GROUP INC,"FRANCHISE PORTFOLIO 2, INC. / U.S."
CORNING INC,"NSW SUBMARINE CABLE SYSTEMS, INC"
CIT GROUP INC,"THE CIT GROUP/COMMERCIAL SERVICES, INC. / USA"
FIFTH THIRD BANCORP,"FIFTH THIRD ASSET MANAGEMENT, INC"
AUTONATION INC,"WORKING MAN`S CREDIT PLAN, INC"
ALTRIA GROUP INC,"TRIMARAN LEASING INVESTORS, L.L.C.-II"
H&R BLOCK INC,"C.W. AMOS INVESTMENT ADVISORS, L.L.C/"
CATERPILLAR INC,CATERPILLAR TRIMBLE CONTROL TECHNOLOGIES LLC
WELLS FARGO & CO,"SS SOUTH LOOP, LLC"
SYSCO CORP,#*SYSCO PROPRIETARY LP
WELLS FARGO & CO,"WELLS FARGO FINANCIAL SECURITY SERVICES, INC"
YUM BRANDS INC,"PIZZA HUT OF ALLEGANY COUNTY NO. 3, INC."
WALT DISNEY CO,DISNEY MAGIC CORPORATION
CIT GROUP INC,"CIT CHINA 8, INC"
CITIGROUP INC,"CC RETAIL SERVICES, INC"
METLIFE INC,MLIC ASSET HOLDINGS II LLC
COMCAST CORP,"COMCAST OF SOUTHERN TENNESSEE, LLC"
AES CORP,"AES CAROLINA WIND, LLC"
FIFTH THIRD BANCORP,THE FIFTH THIRD AUTO LEASING TRUST
VENTAS INC,DV PARKER II MOB LLC
HOSPIRA INC,"HOSPIRA PUERTO RICO, LLC"
CITIGROUP INC,WINDY POINT OF SCHAUMBERG LLC
METLIFE INC,"SAFEGUARD HEALTH PLANS, INC"
COMCAST CORP,"TCI OF ROANOKE RAPIDS, INC"
LENNAR CORP,LENNAR CHARITABLE HOUSING FOUNDATION
AMERICAN EXPRESS CO,SECURITIES AMERICA INSURANCE AGENCY OF WYOMING
PEPSICO INC,"VISTA FOUNTAIN EQUIPMENT, LLC"
EXPEDIA INC,"CARRENTALS, LLC"
AUTONATION INC,"SCM REALTY, INC"
LENNAR CORP,"PARC CHESTNUT, LLC"
CLOROX CO,THE CLOROX OUTDOOR PRODUCTS COMPANY
CITIGROUP INC,NATIONAL BENEFIT LIFE INSURANCE COMPANY
LENNAR CORP,LENNAR-CENTURY 8TH STREET DEVELOPERS
CATERPILLAR INC,"CATERPILLAR LATIN AMERICA SERVICES DE PUERTO RICO, S. EN C."
AES CORP,"AES PACIFIC, INC"
AUTONATION INC,"AN COLLISION CENTER OF TEMPE, INC"
YUM BRANDS INC,"PIZZA HUT OF WASHINGTON COUNTY NO. 2, INC."
GENERAL MILLS INC,"MILLS ONLINE, INC"
CITIGROUP INC,"HANK & CO., L.L.C."
LENNAR CORP,"GREYWALL CLUB, LLC"
WELLS FARGO & CO,WACHOVIA DEFEASANCE JPMC 2002-C3 LLC
AES CORP,"AES GENERATION HOLDINGS, LLC"
WELLS FARGO & CO,WACHOVIA DEFEASANCE JPMC 2004-C2 LLC
EXXON MOBIL CORP,AERA ENERGY LLC
XEROX CORP,"AFFILIATED COMPUTER SERVICES, INC"
STAPLES INC,"LINCOLNSHIRE FUNDING, L.L.C."
HARRIS CORP,"PINE VALLEY INVESTMENTS, INC"
PROCTER & GAMBLE CO,VICK INTERNATIONAL CORPORATION
ALLSTATE CORP,"ALLSTATE DISTRIBUTORS, LLC"
CITIGROUP INC,CITIGROUP INVESTMENTS SCHAUMBERG WINDY POINT LLC
H&R BLOCK INC,"H&R BLOCK INDIANA TAX COMPANY, LP/"
CITIGROUP INC,CITIGROUP SERVICES LLC
STERICYCLE INC,"MICRO-MED OF GEORGIA, INC"
LENNAR CORP,"LENNAR COASTAL DEVELOPMENT GROUP II, LLC"
MCDONALDS CORP,MCDONALD'S SYSTEM OF FRANCE INC
AMERICAN TOWER CORP,"UNISITE/OMNIPOINT NE TOWER VENTURE, LLC"
DANAHER CORP,DATAPAQ INC
VENTAS INC,"VTR DOB III MOB, LLC"
WELLS FARGO & CO,"WELLS FARGO FINANCIAL VERMONT, INC"
WELLS FARGO & CO,"WELLS FARGO FINANCIAL ACCEPTANCE MICHIGAN, INC"
AES CORP,KMR COLOMBIA III CORPORATION (CURRENT)
COMCAST CORP,"COMCAST CABLEVISION OF MIDDLETOWN, INC"
PRAXAIR INC,"O2 INVESTMENTS, INC"
CLOROX CO,THE KINGSFORD PRODUCTS COMPANY
DUKE ENERGY CORP,"TEXAS EASTERN CRYOGENICS, INC"
FLUOR CORP,"II FLUOR INDONESIA, INC"
CITIGROUP INC,ARCADIA RECEIVABLES FINANCE CORP. V
H&R BLOCK INC,"FINANCIAL MARKETING SERVICES, INC"
STERICYCLE INC,"SCHERER HEALTHCARE, INC"
SLM CORP,HICA EDUCATION LOAN CORPORATION
KINDER MORGAN INC,KINDER MORGAN OKLAHOMA LLC
AUTONATION INC,"MAROONE DODGE, LLC"
DELL INC,DFS-SPV L.L.C.
WEYERHAEUSER CO,"OPTIFRAME SOFTWARE, LLC"
V F CORP,"JOHN VARVATOS ENTERPRISES, INC"
COMCAST CORP,L-TCI ASSOCIATES
XCEL ENERGY INC,XCEL ENERGY MARKETS HOLDINGS INCORPORATED
COMCAST CORP,"COMCAST INTERACTIVE MEDIA, LLC"
WELLS FARGO & CO,"FIRST CONSUMER SERVICES, INC"
DEAN FOODS CO,"DEAN DAIRY HOLDINGS, LLC"
DOVER CORP,NEPTUNE CHEMICAL PUMP COMPANY
AUTONATION INC,FIRST TEAM AUTOMOTIVE CORP
AES CORP,"AES LONDONDERRY, L.L.C. (CURRENT)"
COMCAST CORP,COMCAST ENTERTAINMENT HOLDINGS LLC
VENTAS INC,"SUNRISE SECOND ASSISTED LIVING HOLDINGS, LLC"
MASCO CORP,"WESTERN INSULATION, LP"
METLIFE INC,METLIFE INSURANCE COMPANY OF CONNECTICUT
COMCAST CORP,"KNOX CABLE T.V., INC."
WELLS FARGO & CO,"INSURANCE RISK MANAGERS, LTD"
WELLS FARGO & CO,"NORWEST MORTGAGE OF NEW YORK, INC"
WELLS FARGO & CO,"RESORT TRUST MORTGAGE, LLC"
CIT GROUP INC,"AIREAL TECHNOLOGIES OF HARRISBURG, LLC"
COMCAST CORP,"COMCAST OF THE GULF PLAINS, INC"
AMPHENOL CORP,"AMPHENOL AEROSPACE FRANCE, INC"
COMCAST CORP,"COMCAST OF CONNECTICUT/GEORGIA/MASSACHUSETTS/NEW HAMPSHIRE/NEW YORK/NORTH CAROLINA/VIRGINIA/VERMONT, LLC"
WHIRLPOOL CORP,WHIRLPOOL NAAG HOLDINGS CORPORATION
DANAHER CORP,KEITHLEY INSTRUMENTS INTERNATIONAL CORPORATION
WELLS FARGO & CO,"WELLS FARGO CAPITAL FINANCE, LLC"
